,RF,GB,LSTM,Transformer,KNN,N
Overall,0.55,0.6,0.65,0.6,,"134,898"
NH White,0.7,0.9,0.86,0.9,,"60,970"
NH Black,0.19,0.2,0.4,0.07,,"13,726"
Hispanic,0.66,0.65,0.69,0.66,,"38,961"
Asian,0.5,0,0.18,0,,"6,867"
Other,0.17,0,0.08,0,,"14,374"
